"yr","Type","estimation","total","total.lcl","total.ucl","Mercury","Ichaboe","Possession","Lamberts.Bay","Malgas","Algoa.Bay"
1998,"census","fit",146.593061316414,127.674722681923,169.487777176233,1.68251533669389,20.8382338715732,0.795847071170725,10.1470483987676,46.9721701125293,65.5318970955851
1999,"census","fit",146.449646541849,124.663053765476,173.094549569971,1.72207789234522,18.6602217171205,0.702983763113307,10.0042223541867,45.6400307183548,68.9314990280707
2000,"census","fit",146.587797624562,125.130492083911,173.841341283851,1.75790014462352,16.7211624443316,0.617608009145574,9.87632085608873,44.3050519189334,72.5088505844327
2001,"census","fit",146.060949452619,125.494227775175,171.251608615741,1.79713979620157,14.9456918023908,0.544510972731001,9.4249041868684,42.4291526969586,76.408775866471
2002,"census","fit",143.13829656196,122.954498213885,167.838331235819,1.73441636816424,13.7280347270514,0.510198986988808,9.0030578031689,39.4847958092856,78.1282008932836
2003,"census","fit",140.855415623093,121.558973936092,164.449667200747,1.68782709268017,12.5553618287046,0.477300371865406,8.50731419668066,36.7692664123704,80.1660216992212
2004,"census","fit",140.255315961043,120.667648599373,164.138894851407,1.67839980438708,11.668280074574,0.453437453081304,7.67463864757116,35.4953287031092,82.824123408623
2005,"census","fit",139.285550387879,119.915743862833,162.676123990565,1.61940198240576,10.9974385904351,0.427152132306513,6.92926136447468,34.3030205246793,84.557329365259
2006,"census","fit",136.187560926071,117.352379905787,159.1862832367,1.60473861556586,10.8529947907219,0.416623445017137,6.70978623617065,32.7050421055721,83.3652028402548
2007,"census","fit",135.573337191001,116.739019928587,158.853434025945,1.63499886725739,10.5116946886459,0.428164519750564,7.1832095466328,31.9940741525203,83.315965164048
2008,"census","fit",137.018703598732,117.494963920269,161.418698477597,1.66825941385123,10.1402280578332,0.438692454788267,7.35576217746419,31.5395842720079,85.364206238974
2009,"census","fit",135.311854235951,115.341624857197,159.814094023429,1.70065747279118,9.7858932638256,0.44819252682114,7.37539390154844,29.964726440743,85.442895883908
2010,"census","fit",133.15251422683,112.000809436956,159.39802724673,1.73560596067312,9.46311484999034,0.458002965498105,7.62057262312847,28.0272476205366,85.2080586589859
2011,"census","fit",130.639236298478,110.868216102203,155.809599081516,1.68720617896093,8.95621665951928,0.489671998028003,7.61372076017668,26.2928551052483,85.1061327741011
2012,"census","fit",127.960240538397,108.723669673627,151.817787043708,1.63376064502538,8.46969961564225,0.524552274859354,7.38316732108922,23.8346762980629,85.5724138679192
2013,"census","fit",124.354452801592,104.992425973403,148.315579573457,1.58750774536936,7.99032372845072,0.518108108866846,6.92336331716401,22.3390459834955,84.213246955888
2014,"census","fit",123.743104243139,103.824745186559,148.115412532803,1.53992376689001,7.54629056295077,0.484928395096592,7.25857232166818,21.9474085609264,84.264696181204
2015,"census","fit",126.012842415087,104.924018489025,152.806030067423,1.49191101021785,7.14651788389061,0.454514955212375,7.59411702295257,22.842828883862,85.6265227416456
2016,"census","fit",130.042378898856,105.358148018551,161.890895584016,1.4514000064062,6.73766509621925,0.424370489876332,7.80847831114864,24.3711008769247,88.2734333416122
2017,"census","prj",131.766553632044,106.213559126697,164.924323598644,1.4093260710185,6.36979258010189,0.398023853496774,7.86010062871913,24.3503405768315,90.4559583721002
2018,"census","prj",133.542979163305,107.094347235056,168.005845837515,1.36854330055834,6.02329054156985,0.372975271824078,7.910399418489,24.3311080769991,92.7188383441002
