"yr","Type","estimation","total","total.lcl","total.ucl","De.Hoop","MZNP","Gamkaberg","Kammanassie","Karoo","Gariep","Kandeboo","Commandodrift","Tsolwane"
1995,"census","fit",726.73402869081,680.577051958907,778.650689173381,50.6274172207013,248.408262889222,20.4388662065163,23.3885236113632,123.945236242192,62.0731469302174,88.619842487301,45.0117873176434,62.6952715730601
1996,"census","fit",772.074797877571,713.729255635142,836.653409233099,52.0546032376014,239.141666193078,21.1126050693699,25.5573498966796,152.34449525347,63.9649822029072,95.8114957287415,50.8963010193719,68.4863348901009
1997,"census","fit",829.183677078926,763.173927212588,905.94824941019,53.5244375503569,227.057626745151,21.7768766084931,27.868571513104,186.863038069012,66.1461994495188,104.320533442356,62.9942004245789,74.4563036508626
1998,"census","fit",907.707238223952,846.116330794975,974.672592994834,55.0053320273796,233.53965548566,22.4617495254352,30.5139095776449,229.0195880911,61.5704327656025,113.838207753586,77.6065710937266,81.2175899590577
1999,"census","fit",957.689009030341,873.859969147055,1063.38124888806,58.5819009871066,256.702552882597,23.7720790421167,32.4000635557674,245.386634490079,62.8686673870815,114.322936784942,83.6395220468502,75.7372966502569
2000,"census","fit",1030.95269843746,916.249935421545,1174.60035763831,62.0398366238069,277.144024286892,26.5166108145832,34.4769110182043,263.195827227361,65.7385702297789,125.317858236624,98.6268269965248,71.0299702217579
2001,"census","fit",1103.86320185865,973.5211681316,1277.79254561165,65.7661673615601,299.512959136991,29.0118747726851,36.6396998222374,282.130102212251,70.0253072494986,128.253550697616,118.868260708266,66.4056553609568
2002,"census","fit",1167.31259377996,1037.16774801699,1351.8134582133,69.7631690203668,323.654257319606,31.7632864763544,38.9937893986798,302.809173979769,71.1765610991098,120.546293741341,141.062266325222,62.1902282210142
2003,"census","fit",1203.68184294741,1065.05489001914,1400.26853872357,74.1740808765507,308.756154197576,34.3319353101367,41.282582819128,325.061037503731,74.359217198736,130.216842061228,151.096496236713,57.964301443202
2004,"census","fit",1242.16352608177,1095.03288057025,1450.06112672733,78.8618730478007,311.641730109589,37.3466947691553,43.9087720639338,348.067187155933,66.8570027553461,121.763107278154,150.67809201027,77.0893780143787
2005,"census","fit",1300.2860865393,1144.50528845238,1518.78822927019,83.568596743339,333.778595005769,39.9874352683288,46.5573807373465,374.153634981598,69.3159134331933,112.219762460822,142.34624029512,91.5831515537211
2006,"census","fit",1374.2267098162,1207.18791518875,1593.99044049737,88.5460114734212,365.021168716527,40.9655985099465,48.709109965839,401.70379271271,71.9766322017625,118.770498406889,127.865460058021,102.485272810048
2007,"census","fit",1474.7482564719,1299.86966528743,1698.00656116022,93.9476448204362,417.680126865418,42.1295671344918,51.0918772672672,429.784977951974,74.6932638991247,125.94958919624,114.893200687483,114.985360603128
2008,"census","fit",1602.24366252261,1442.2010352822,1793.69311091197,99.5939702512771,478.713632778733,43.6400018252405,53.4755495840333,460.593704584622,77.1468588439272,133.418051339376,121.648408050068,125.568553548078
2009,"census","fit",1760.82244653173,1621.09038680562,1916.43604576777,105.47209136746,566.576624269665,44.4787184869363,56.7460052986559,493.165665870514,79.9865023942948,140.883436210294,128.634511770852,137.295893518261
2010,"census","fit",1893.60506005763,1716.89588791943,2109.72072429885,105.110518851845,620.127198184764,41.5872603600693,60.1866836900015,540.172402039753,83.2963511018272,149.244164934262,136.530840648096,149.997844562411
2011,"census","fit",2021.07952027101,1809.10074107485,2278.89037152922,104.870698867138,675.909078628655,38.9040543598905,63.7546482699821,592.773006640639,86.5503557299484,158.362854848933,138.462171538319,149.596324377722
2012,"census","fit",2167.46753600893,1933.96193252014,2449.46385593464,104.733388221783,740.999894412562,36.5054817363101,67.5482081666518,649.434112800004,90.0628265960566,173.741058588868,141.52453246594,149.835668537046
2013,"census","fit",2320.25910811001,2084.44072564028,2602.4739731767,104.318955456558,808.087956375209,34.1223924775144,71.5443583999651,712.536036409788,93.3367794690549,190.460390890606,143.996403484665,149.430086386401
2014,"census","fit",2581.67468363099,2320.40337823991,2876.98309383395,104.048152162475,950.595154410703,32.2803606665694,75.6552476916994,780.34766231406,97.2287531079004,209.981636445859,160.765488818319,157.709920832906
2015,"census","fit",2869.30314102928,2597.03902101012,3170.1538780317,103.471211984758,1116.67686863338,30.4459228486229,80.4521788413653,843.732445191731,101.188003045808,231.134586847559,178.540129627855,166.252394300852
2016,"census","prj",2969.53585782865,2696.192831696,3270.38173271169,108.471103747291,1122.42386179589,30.9682316318865,85.7100465883811,904.392510318194,106.736715951097,245.195827041211,179.046883793909,169.295638075589
2017,"census","prj",3045.60597856308,2769.67127084237,3353.56359563869,113.740409773407,1124.42148816146,31.5017107823966,91.2567079328824,948.071857316775,109.969303424425,257.859931510973,179.26316450322,170.977152269532
2018,"census","prj",3096.10282181493,2820.44665201065,3417.69596303025,119.288129767127,1124.95248674248,32.0428748178658,97.1640457982075,968.858847319011,111.150027534516,267.569915990716,179.368276806144,172.235634676569
2019,"census","prj",3126.15551785902,2844.56888126869,3459.17084239358,125.046638387733,1125.00225885579,32.5861416184914,103.43568989252,976.665476910998,111.503916816914,274.739499043752,179.383417845293,173.058249056418
2020,"census","prj",3147.78216554259,2862.41697395846,3484.69347987256,131.142248804677,1125.00225885579,33.1374296723729,110.027727166662,978.099983335984,111.593940118025,278.612237777558,179.383417845293,173.83232529598
2021,"census","prj",3164.98986864121,2877.17350748084,3505.42752944241,137.501553756793,1125.00225885579,33.6860627442198,116.855693812421,978.2592776991,111.594781631165,280.145612286902,179.416162764962,174.299524518915
2022,"census","prj",3179.81359160348,2891.77838939432,3521.60726632288,144.185630518643,1125.00225885579,34.2393965810893,123.598757599036,978.323534095899,111.594781631165,280.55755584031,179.416162764962,174.57124307883
2023,"census","prj",3194.20138503468,2906.50072579734,3535.56842526343,151.112549015383,1125.00225885579,34.7962101933607,129.608266212978,978.323534095899,111.594781631165,280.628076509437,179.416162764962,174.744302805935
2024,"census","prj",3206.65102930842,2918.97869129906,3549.40873153022,158.135880619619,1125.00225885579,35.3231085771535,134.537616625754,978.323534095899,111.594781631165,280.669430894533,179.416162764962,174.940250213331
2025,"census","prj",3217.39038010565,2929.21662769068,3563.15557455278,165.026783044403,1125.00225885579,35.8213116988951,138.231607273451,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.008772157216
2026,"census","prj",3226.43012939351,2937.96541818651,3573.26358104891,171.221369976729,1125.00225885579,36.3077686201629,140.604908154391,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.078205837619
2027,"census","prj",3234.90602992718,2945.50871319262,3582.23898403478,176.535302769924,1125.00225885579,36.7573523529626,141.90496717887,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.136840094688
2028,"census","prj",3240.95750850309,2950.35531886747,3588.43204718817,181.020926306499,1125.00225885579,37.1643244595696,142.46417634223,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.206657920408
2029,"census","prj",3245.00285067922,2955.75869612597,3594.03486125833,184.549188226175,1125.00225885579,37.5180557971919,142.689321724976,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.238952258673
2030,"census","prj",3248.71812339744,2959.27697050633,3594.8143172175,187.321092410148,1125.00225885579,37.8211233561663,142.866073917738,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.244714889466
2031,"census","prj",3251.31395583406,2962.02653104057,3597.49476772238,189.510149281272,1125.00225885579,38.108932889206,142.926011662635,978.323534095899,111.594781631165,280.669430894533,179.416162764962,175.266680563472
