"assessment","scenario","name","yr","Type","estimation","mu","lcl","ucl"
"MLS","s1","JAP_NW_hist",1996,"relative","fit",1.28743904723024,1.89528307371012,1.89528307371012
"MLS","s1","JAP_NW_hist",1997,"relative","fit",0.992971288263529,1.43783953129726,1.43783953129726
"MLS","s1","JAP_NW_hist",1998,"relative","fit",0.702937648775117,1.03262816716556,1.03262816716556
"MLS","s1","JAP_NW_hist",1999,"relative","fit",0.680450882352697,1.01000035835396,1.01000035835396
"MLS","s1","JAP_NW_hist",2000,"relative","fit",0.589490078889206,0.887387072059557,0.887387072059557
"MLS","s1","JAP_NW_hist",2001,"relative","fit",0.600102787729011,0.897614594463319,0.897614594463319
"MLS","s1","JAP_NW_hist",2002,"relative","fit",0.665726484234652,0.976886772436259,0.976886772436259
"MLS","s1","JAP_NW_hist",2003,"relative","fit",0.498494358588337,0.748977842852152,0.748977842852152
"MLS","s1","JAP_NW_hist",2004,"relative","fit",0.429990537984306,0.62897249006283,0.62897249006283
"MLS","s1","JAP_NW_hist",2005,"relative","fit",0.303006837460704,0.450970820966793,0.450970820966793
"MLS","s1","JAP_NW_hist",2006,"relative","fit",0.283914514350922,0.411872514030562,0.411872514030562
"MLS","s1","JAP_NW_hist",2007,"relative","fit",0.197348863027218,0.289326442805389,0.289326442805389
"MLS","s1","JAP_NW_hist",2008,"relative","fit",0.314112481229689,0.43729764561273,0.43729764561273
"MLS","s1","JAP_NW_hist",2009,"relative","fit",0.208319214673741,0.298848633714357,0.298848633714357
"MLS","s1","JAP_NW_hist",2010,"relative","fit",0.362674219751301,0.517851446520127,0.517851446520127
"MLS","s1","JAP_NW_hist",2011,"relative","fit",0.383277460562779,0.588306560683033,0.588306560683033
"MLS","s1","JAP_NW_hist",2012,"relative","fit",0.381264000529302,0.576430574127655,0.576430574127655
"MLS","s1","JAP_NW_hist",2013,"relative","fit",0.561599680079071,0.820641425644269,0.820641425644269
"MLS","s1","JAP_NW_hist",2014,"relative","fit",0.423389057456548,0.634748051344542,0.634748051344542
"MLS","s1","JAP_NW_hist",2015,"relative","fit",0.320298518301916,0.48780578112434,0.48780578112434
"MLS","s1","JAP_NW_hist",2016,"relative","fit",0.388738284092537,0.585907164987406,0.585907164987406
"MLS","s1","JAP_NW_hist",2017,"relative","fit",0.31032358783941,0.484365504566485,0.484365504566485
"MLS","s1","JAP_NW_hist",2018,"relative","prj",0.293877274327118,0.463560471074077,0.463560471074077
"MLS","s1","JAP_NW_hist",2019,"relative","prj",0.278540287441208,0.444135622268042,0.444135622268042
"MLS","s1","TWN_NE",1976,"relative","fit",2.13140278291375,3.37833309959869,3.37833309959869
"MLS","s1","TWN_NE",1977,"relative","fit",3.17806919559738,4.7369103494175,4.7369103494175
"MLS","s1","TWN_NE",1978,"relative","fit",2.73059280722144,4.05438115689714,4.05438115689714
"MLS","s1","TWN_NE",1979,"relative","fit",2.22767867236759,3.14714817463252,3.14714817463252
"MLS","s1","TWN_NE",1980,"relative","fit",1.97722623950273,2.7718410843211,2.7718410843211
"MLS","s1","TWN_NE",1981,"relative","fit",1.48931495992054,2.07040827902259,2.07040827902259
"MLS","s1","TWN_NE",1982,"relative","fit",1.10656556057773,1.52258422634007,1.52258422634007
"MLS","s1","TWN_NE",1983,"relative","fit",0.795977734345911,1.12739412070718,1.12739412070718
"MLS","s1","TWN_NE",1984,"relative","fit",0.988028541161706,1.4145606111578,1.4145606111578
"MLS","s1","TWN_NE",1985,"relative","fit",0.977160808998383,1.39960851328533,1.39960851328533
"MLS","s1","TWN_NE",1986,"relative","fit",1.02573580182039,1.44983378237299,1.44983378237299
"MLS","s1","TWN_NE",1987,"relative","fit",0.72625993700507,0.982323517499539,0.982323517499539
"MLS","s1","TWN_NE",1988,"relative","fit",0.489276713595249,0.670476264342826,0.670476264342826
"MLS","s1","TWN_NE",1989,"relative","fit",0.347458715765294,0.484550205329171,0.484550205329171
"MLS","s1","TWN_NE",1990,"relative","fit",0.275276752977668,0.393614754960761,0.393614754960761
"MLS","s1","TWN_NE",1991,"relative","fit",0.398647245173223,0.558570043404598,0.558570043404598
"MLS","s1","TWN_NE",1992,"relative","fit",0.525226453281675,0.737840091942114,0.737840091942114
"MLS","s1","TWN_NE",1993,"relative","fit",0.483313854630475,0.675460851127439,0.675460851127439
"MLS","s1","TWN_NE",1994,"relative","fit",0.82633086906268,1.15870065378519,1.15870065378519
"MLS","s1","TWN_NE",1995,"relative","fit",0.857607766882755,1.29115955897995,1.29115955897995
"MLS","s1","TWN_NE",1996,"relative","fit",0.912303489561633,1.34303318325844,1.34303318325844
"MLS","s1","TWN_NE",1997,"relative","fit",0.703638104861147,1.01888009739506,1.01888009739506
"MLS","s1","TWN_NE",1998,"relative","fit",0.498114820504665,0.731739714087058,0.731739714087058
"MLS","s1","TWN_NE",1999,"relative","fit",0.482180275471045,0.715705223767407,0.715705223767407
"MLS","s1","TWN_NE",2000,"relative","fit",0.417723741710009,0.628819146175107,0.628819146175107
"MLS","s1","TWN_NE",2001,"relative","fit",0.425244106521908,0.636066560643851,0.636066560643851
"MLS","s1","TWN_NE",2002,"relative","fit",0.471746290410792,0.692240314846391,0.692240314846391
"MLS","s1","TWN_NE",2003,"relative","fit",0.353242465222198,0.530739766755081,0.530739766755081
"MLS","s1","TWN_NE",2004,"relative","fit",0.304699371302673,0.445701719826718,0.445701719826718
"MLS","s1","TWN_NE",2005,"relative","fit",0.214716336102395,0.319566393875967,0.319566393875967
"MLS","s1","TWN_NE",2006,"relative","fit",0.201187157354581,0.291860599236125,0.291860599236125
"MLS","s1","TWN_NE",2007,"relative","fit",0.139845110949593,0.205022151504316,0.205022151504316
"MLS","s1","TWN_NE",2008,"relative","fit",0.22258600386342,0.309877325010349,0.309877325010349
"MLS","s1","TWN_NE",2009,"relative","fit",0.147618908171584,0.211769754828304,0.211769754828304
"MLS","s1","TWN_NE",2010,"relative","fit",0.256997763866939,0.366959261295702,0.366959261295702
"MLS","s1","TWN_NE",2011,"relative","fit",0.271597607276247,0.416885078480262,0.416885078480262
"MLS","s1","TWN_NE",2012,"relative","fit",0.270170831679696,0.408469531352212,0.408469531352212
"MLS","s1","TWN_NE",2013,"relative","fit",0.397960081275371,0.581521927507772,0.581521927507772
"MLS","s1","TWN_NE",2014,"relative","fit",0.300021438211623,0.449794391027594,0.449794391027594
"MLS","s1","TWN_NE",2015,"relative","fit",0.226969545919016,0.34566833847823,0.34566833847823
"MLS","s1","TWN_NE",2016,"relative","fit",0.27546724939468,0.415184821624865,0.415184821624865
"MLS","s1","TWN_NE",2017,"relative","fit",0.219901122844031,0.343230493894022,0.343230493894022
"MLS","s1","TWN_NE",2018,"relative","prj",0.208246956194381,0.328487656400935,0.328487656400935
"MLS","s1","TWN_NE",2019,"relative","prj",0.197378879227569,0.314722843699256,0.314722843699256
"MLS","s1","TWN_NW",1976,"relative","fit",2.02975999104256,3.2172264280363,3.2172264280363
"MLS","s1","TWN_NW",1977,"relative","fit",3.02651275193039,4.51101555533259,4.51101555533259
"MLS","s1","TWN_NW",1978,"relative","fit",2.60037571328955,3.86103496095496,3.86103496095496
"MLS","s1","TWN_NW",1979,"relative","fit",2.12144465528435,2.99706629922807,2.99706629922807
"MLS","s1","TWN_NW",1980,"relative","fit",1.8829358516159,2.63965693372686,2.63965693372686
"MLS","s1","TWN_NW",1981,"relative","fit",1.41829218951067,1.97167420610119,1.97167420610119
"MLS","s1","TWN_NW",1982,"relative","fit",1.05379542540325,1.44997490403607,1.44997490403607
"MLS","s1","TWN_NW",1983,"relative","fit",0.758018977871165,1.0736307087015,1.0736307087015
"MLS","s1","TWN_NW",1984,"relative","fit",0.940911224727126,1.34710274212352,1.34710274212352
"MLS","s1","TWN_NW",1985,"relative","fit",0.930561755300084,1.33286368309302,1.33286368309302
"MLS","s1","TWN_NW",1986,"relative","fit",0.976820293473011,1.380693798804,1.380693798804
"MLS","s1","TWN_NW",1987,"relative","fit",0.69162589776427,0.935478263453806,0.935478263453806
"MLS","s1","TWN_NW",1988,"relative","fit",0.465943981008969,0.638502448817445,0.638502448817445
