-----------------------------------------------------
Inference for Bugs model at "C:/Work/Research/Github/JARAbeta//Chin_penguin/output1/jara.jags", fit using jags,
 2 chains, each with 1100 iterations (first 1000 discarded)
 n.sims = 200 iterations saved
               mu.vect  sd.vect      2.5%       25%       50%       75%     97.5%  Rhat n.eff
N.est[12,3]    539.650  161.032   311.161   427.594   499.394   608.855   955.908 1.012   200
N.est[13,3]    497.126  136.129   297.810   402.375   478.245   555.946   833.906 1.060   200
N.est[14,3]    454.288   58.042   334.760   417.992   452.739   492.969   572.442 1.035    53
N.est[15,3]    440.575   92.413   305.246   386.173   424.329   470.554   680.967 1.024   150
N.est[16,3]    418.864   56.664   324.309   375.215   417.823   457.323   543.542 1.018    75
N.est[17,3]    403.890   74.828   289.937   351.941   398.550   445.780   557.007 0.999   200
N.est[18,3]    396.411   50.976   310.384   359.074   393.134   430.811   502.125 0.997   200
N.est[19,3]    390.315   45.600   315.464   359.555   386.680   423.702   481.206 1.000   200
N.est[20,3]    349.412   44.841   268.195   320.437   347.952   375.516   435.032 1.005   200
N.est[21,3]    351.265   71.319   230.151   305.825   345.969   388.461   528.653 1.022   200
N.est[22,3]    347.606   51.752   263.468   309.621   343.663   379.228   459.394 1.037   200
N.est[23,3]    331.638   80.026   210.018   276.761   318.943   378.771   510.045 1.027    60
N.est[24,3]    312.162   74.802   186.092   262.259   308.751   352.388   478.302 1.022    80
N.est[25,3]    290.093   70.739   178.495   235.883   288.824   338.448   443.373 1.025   200
N.est[26,3]    274.755   36.162   205.336   251.396   272.673   297.157   346.638 1.044   200
N.est[27,3]    257.780   29.730   204.325   238.389   256.989   275.592   322.544 1.020   140
N.est[28,3]    255.243   32.435   199.652   233.342   254.484   273.785   323.199 0.999   200
N.est[29,3]    228.723   31.311   176.389   207.894   224.658   245.211   296.421 1.002   200
N.est[30,3]    241.666   34.120   185.072   215.822   236.277   266.802   314.944 1.024    58
N.est[31,3]    217.447   27.996   161.670   200.133   217.813   235.671   273.507 1.033    93
N.est[32,3]    167.139   21.618   132.053   151.107   166.304   181.609   213.817 1.149    16
N.est[33,3]    189.348   22.274   145.290   174.071   188.844   204.817   230.903 0.996   200
N.est[34,3]    210.929   25.420   166.550   193.644   207.908   227.814   264.466 1.007   200
N.est[35,3]    226.037   29.148   175.324   204.937   227.573   243.026   282.346 1.004   180
N.est[36,3]    224.468   27.246   175.012   204.712   221.086   241.686   278.473 1.010   120
N.est[37,3]    206.126   25.097   157.223   188.934   205.286   221.532   256.226 1.007   200
N.est[38,3]    197.653   27.525   148.485   181.823   193.077   213.585   258.324 1.060   110
N.est[39,3]    200.221   54.683   119.990   158.153   195.197   227.518   335.389 0.999   200
N.est[40,3]    198.143   55.764   115.823   155.547   193.536   225.889   335.119 0.999   200
N.est[1,4]    7904.398 4058.748  2822.341  5272.775  7043.029  9609.343 17756.346 1.110    21
N.est[2,4]    7757.296 3765.349  2599.530  5048.169  6983.626  9517.190 17628.680 1.100    25
N.est[3,4]    7765.711 3853.327  2791.333  5164.348  6840.943  9366.702 17673.165 1.077    28
N.est[4,4]    7713.965 3953.788  2185.409  5235.909  6624.824  9674.238 17533.257 1.026    70
N.est[5,4]    7757.142 4035.629  2208.051  4870.488  6704.423  9485.097 17458.111 1.033    53
N.est[6,4]    7964.409 4558.168  2369.919  4886.532  6734.921 10061.943 19548.074 1.041    68
N.est[7,4]    8020.773 4479.592  2012.716  4971.751  7019.404  9780.248 20513.653 1.041    48
N.est[8,4]    8019.385 4338.238  2442.554  4903.597  7011.365  9768.658 20295.976 1.036    44
N.est[9,4]    8061.011 4568.428  2687.283  4753.904  7106.352  9897.779 21106.365 1.052    32
N.est[10,4]   7877.514 4249.868  2710.420  5008.414  6920.078  9749.942 17705.718 1.064    27
N.est[11,4]   7970.332 4581.878  2509.450  4935.785  6616.379 10103.009 20594.310 1.082    25
N.est[12,4]   7930.489 4907.373  2504.806  5069.511  6929.045  9381.463 18272.379 1.075    52
N.est[13,4]   8147.567 5132.378  2850.488  5106.597  7044.315  9780.498 20358.338 1.058    53
N.est[14,4]   8118.075 4389.501  2647.196  5504.733  7273.618  9793.315 17030.853 1.043   150
N.est[15,4]   7914.997 3445.937  3159.819  5568.378  7324.906  9703.379 14688.226 1.037   200
N.est[16,4]   7722.751 2739.049  3908.184  5777.833  7263.562  9195.533 14225.411 1.046   120
N.est[17,4]   7593.442 1961.221  4329.446  6183.631  7372.819  8827.828 11912.439 1.022   200
N.est[18,4]   7314.921 1000.689  5495.412  6665.586  7263.121  7856.274  9361.583 1.052    60
N.est[19,4]   7631.354 1023.048  6088.652  6890.282  7500.694  8251.358  9747.645 0.998   200
N.est[20,4]   7617.625  917.631  6152.199  7068.478  7504.818  8088.379  9847.886 0.997   200
N.est[21,4]   7584.864  805.484  6115.110  7076.638  7564.012  8103.511  9212.823 1.087    23
N.est[22,4]   7162.051  874.295  5444.555  6567.521  7093.626  7654.757  9099.438 1.041    48
N.est[23,4]   6576.354  755.369  5079.291  6161.471  6544.099  7029.686  8062.570 1.061    35
N.est[24,4]   5964.188  680.150  4788.824  5476.013  5838.179  6439.722  7455.330 1.005   200
N.est[25,4]   5603.424  689.135  4400.140  5111.227  5567.859  6025.212  7128.908 1.015    99
N.est[26,4]   5070.405  625.054  4041.400  4676.756  5023.735  5401.963  6448.134 1.032   200
N.est[27,4]   4900.050  625.965  3794.300  4475.272  4836.011  5293.839  6281.399 1.008   200
N.est[28,4]   4378.543  493.578  3488.663  4024.448  4372.810  4695.564  5461.985 0.998   200
N.est[29,4]   3520.798  424.578  2703.063  3252.115  3506.432  3739.785  4568.314 1.057    31
N.est[30,4]   4014.356  534.796  3037.057  3629.780  3984.666  4338.652  5162.401 1.006   200
N.est[31,4]   4266.748  535.557  3286.240  3930.180  4256.040  4587.226  5379.777 1.036    49
N.est[32,4]   4168.947  553.854  3121.880  3816.825  4144.642  4554.812  5226.726 1.024    70
N.est[33,4]   4174.075 1281.200  2333.858  3334.795  3910.190  4740.581  7179.799 1.022   200
N.est[34,4]   4330.838 1591.975  1836.499  3188.260  4109.588  5261.151  8380.835 1.025   200
N.est[35,4]   4453.513 2095.032  1567.853  2872.424  4056.272  5542.799  9409.344 1.033   200
N.est[36,4]   4383.561 2369.363  1302.226  2807.380  3835.241  5464.974  9752.233 1.028   180
N.est[37,4]   4397.041 2745.899  1259.327  2748.524  3700.895  5376.121 12262.921 1.025   200
N.est[38,4]   4489.449 3272.357  1091.438  2658.666  3616.750  5262.124 14784.475 1.029   200
N.est[39,4]   4614.126 3821.273   899.311  2304.895  3441.143  5366.655 16357.359 1.059    64
N.est[40,4]   4597.303 3936.483   854.909  2226.585  3377.952  5347.894 16952.820 1.061    60
N.est[1,5]    2818.210 1366.882  1085.327  1864.478  2484.215  3545.613  6433.732 1.026    56
N.est[2,5]    2739.082 1303.878  1020.928  1739.707  2542.226  3413.742  5800.978 1.012    98
N.est[3,5]    2688.697 1264.630  1103.672  1794.054  2441.280  3237.916  5648.977 1.038    41
N.est[4,5]    2718.433 1205.530  1103.312  1852.239  2498.513  3329.996  5868.919 1.034    45
N.est[5,5]    2615.430 1087.435   974.225  1807.977  2365.579  3261.759  4945.848 1.027    74
N.est[6,5]    2593.594 1079.040  1061.118  1806.656  2399.997  3061.810  5445.246 1.021   130
N.est[7,5]    2466.884  896.528  1127.013  1855.783  2287.683  2979.502  4513.804 1.043    86
N.est[8,5]    2505.493  653.649  1479.156  2078.760  2407.174  2928.749  3921.460 0.999   200
N.est[9,5]    2428.702  350.667  1808.118  2156.616  2472.009  2659.294  3025.596 1.035   200
N.est[10,5]   2305.177  543.646  1457.121  1921.036  2252.502  2625.843  3308.625 1.005   200
N.est[11,5]   2104.174  499.257  1299.284  1759.175  2037.106  2375.838  3217.726 0.998   200
N.est[12,5]   1878.258  293.569  1404.882  1667.562  1832.110  2051.278  2524.748 1.061    51
N.est[13,5]   2113.032  493.084  1192.855  1807.206  2099.514  2365.394  3241.870 1.033    46
N.est[14,5]   2342.163  631.447  1258.647  1859.811  2349.226  2663.875  3783.952 1.026   180
N.est[15,5]   2623.362  793.397  1300.058  2070.642  2572.000  3126.929  4272.020 1.011   200
N.est[16,5]   2825.571  861.373  1383.055  2316.695  2726.202  3264.960  4664.070 1.028   200
N.est[17,5]   2998.738  779.207  1770.514  2467.473  2910.169  3421.439  4577.928 1.007   200
N.est[18,5]   3301.250  452.218  2447.907  3014.165  3300.046  3588.457  4188.450 1.016    80
N.est[19,5]   3304.686  624.826  2308.638  2814.538  3266.610  3736.414  4496.931 1.020   160
N.est[20,5]   3209.718  463.063  2390.455  2925.994  3192.707  3498.367  4302.078 1.027    90
N.est[21,5]   3145.047  857.607  1876.280  2503.368  2983.849  3599.710  5072.493 1.005   200
N.est[22,5]   3028.102 1065.385  1586.848  2238.025  2814.411  3769.504  5326.113 0.998   200
N.est[23,5]   2788.893  970.456  1380.494  2034.008  2763.561  3274.755  4847.189 1.006   200
N.est[24,5]   2668.500 1042.607  1094.879  1946.836  2503.077  3255.291  5173.051 1.002   200
N.est[25,5]   2476.460 1000.892  1031.022  1791.667  2360.140  2960.559  4664.217 1.013   200
N.est[26,5]   2370.481  967.026  1044.434  1723.510  2201.542  2816.173  4520.758 1.012   200
N.est[27,5]   2196.533  734.922  1137.880  1685.772  2100.492  2540.803  3961.452 1.003   200
N.est[28,5]   2017.329  497.170  1221.933  1646.557  1979.923  2248.348  3207.308 1.030    58
N.est[29,5]   1845.590  247.023  1418.871  1663.440  1824.613  1986.750  2389.286 1.013   130
N.est[30,5]   1982.344  247.798  1576.552  1798.538  1954.221  2141.426  2469.522 1.010   200
N.est[31,5]   2039.780  405.424  1363.556  1728.670  2010.451  2316.705  2929.977 1.022   110
N.est[32,5]   2099.863  258.616  1649.969  1928.355  2087.221  2261.501  2650.301 1.000   200
N.est[33,5]   2108.073  239.347  1690.283  1930.504  2103.778  2263.311  2586.578 1.032    67
