"yr","Type","estimation","total","total.lcl","total.ucl","Port.Charcot","Orne.Islands","Georges.Point","Cape.Shirreff","Half.Moon.Island","Ardley.Island","Barton.Peninsula","Waterboat.Point","Spigot.Peak","Entrance.Point","Hanh.Point","Pinguino.Island","Selvick.Cove","Llano.Point","Patelnia.Point","Tetrad.Islands"
1997,"census","fit",21516.0665743588,18366.7384001232,24848.572457023,8.87327891764083,396.53808804487,375.480917242312,7500.5740564473,3236.77363469925,39.3839254711535,2919.29381879451,6.75815732638507,1501.40856552519,716.205879835307,1146.36496470955,1568.9653627605,128.509996959875,1.56009780344712,1334.24919569046,194.547936897748
1998,"census","fit",21173.7830570745,18473.0862472868,24854.6215847814,10.0941620486969,381.421412715829,345.077032469961,7458.21346053905,3211.2169683429,39.1308606035347,2993.34688041715,4.44896041926941,1435.48146310595,690.818634134289,1070.91448701076,1586.13945065369,131.818762372715,1.14400064293462,1233.62093677561,195.88448146447
1999,"census","fit",20947.7022659769,17949.8731159029,25753.8713172495,11.7920478518336,388.408530588914,340.517823330319,7349.23784348586,2995.88490004934,33.5107727051804,3002.96345188632,3.6556820504698,1311.29473868098,716.952752384461,1045.4450146467,1667.94018767081,133.116373771575,0.909363253112289,1191.84025470423,187.985654733564
2000,"census","fit",20504.8938660336,17768.3832108761,24741.1950198099,12.997974920555,350.196999401267,346.059148915871,7098.73848021741,2846.84485759114,27.4635750656861,3029.69135067969,2.96549731543307,1259.80392832591,690.343975181995,969.316806721727,1790.18226877106,138.459677487274,0.662800743438054,1225.8319132474,190.223343654569
2001,"census","fit",19805.3715357993,16927.260218181,25580.3761583098,18.2953817445573,311.425406323048,334.049882975928,6500.47907656923,2685.77158792346,24.9828943183797,3029.90419989391,2.3981194194923,1179.00719166472,692.923253924494,903.858077111334,1872.46779961058,134.449690800945,0.500745197841501,1188.29501609598,193.295527861748
2002,"census","fit",18672.4537750206,15608.6248757885,25338.3055235984,15.9439841197592,180.940605116771,316.145607032586,5925.65540682944,2452.91150861753,29.1125854188661,3010.88712502249,2.02638403854951,1108.86533393793,696.282684704709,860.951561094784,1924.83953196786,136.834845283397,0.370521050304101,1120.25070885772,196.733186002857
2003,"census","fit",18020.9890495465,14815.8054416994,23201.9280316366,13.7222001314216,280.422099967318,284.120889489744,5481.34137669081,2339.88879010217,24.2123411451037,2894.72252827692,1.65658926787177,1016.67369107378,657.173560944476,840.983043975664,2010.70390677859,132.297448168202,0.267549763706766,1044.85567660196,198.655800259185
2004,"census","fit",17221.9266919066,14162.1218412879,23362.8202924045,12.0354263528269,301.413982330591,266.521207107945,5021.14114399107,2238.36459117045,14.4917318317682,2906.32500285596,1.32549149310146,979.636297958209,631.103084571144,787.477519585519,2029.92979934154,140.215870534633,0.20855654386598,1108.27664324109,197.948823382125
2005,"census","fit",17122.5881802881,13954.0227424948,22680.2356470647,10.1423517696715,320.820730568781,251.538626997075,4675.49939186115,2118.99825640095,10.7161820414199,2934.14182318841,1.68223687849223,898.828516921044,633.273412410356,739.859215541376,2217.01355450459,127.361205410838,0.159462788744265,1065.15231306855,206.681742860059
2006,"census","fit",16198.1630959946,13892.3050729575,21843.8540040948,11.1671242319486,298.486459143103,250.765689220889,4304.91754629555,1959.55822330157,10.9461696053523,2864.67043664268,2.09507188684576,840.351914806226,784.391867298326,723.020137078705,2318.75937776754,130.296991211054,0.116434480465014,1089.88899339439,208.422671367798
2007,"census","fit",15252.6865404696,12941.3317601188,22049.395115443,12.0574899302198,275.453632812943,229.137728757234,3520.47479868014,1849.00345965885,11.8426944303557,2787.22602344388,2.61038731383742,796.851643191737,764.488900739036,670.06023184744,2413.40632996828,133.313184990028,0.0849873894024624,1063.76532811284,207.418019115387
2008,"census","fit",15696.6037275753,13112.761924234,21649.0757418745,16.1190345610998,292.785956973718,233.549316439934,3882.46271181408,1975.86712642384,11.8026795259479,2717.55508499978,3.27803139374196,739.164350820985,708.611141917589,678.444425733959,2437.74611810306,141.597961622318,0.0638044363075835,1098.71659805191,201.909888339274
2009,"census","fit",15982.7089313351,13081.0293813315,22785.2724918757,19.3818324099819,297.771180199868,217.281909346658,4170.24671954991,2016.6896984637,12.1992044476874,2659.04340853603,2.92195652114162,654.961237941342,654.574350264592,631.583106024301,2462.39194500948,148.941574274015,0.0455576365343952,1031.23667541701,212.317014253084
2010,"census","fit",15673.6664077813,13557.744744055,23182.9712669402,22.6885383345681,271.474032067382,170.565896903694,4151.16491691391,2043.31417253695,12.5188003815063,2739.26916605447,2.44384906327514,507.388561836464,622.940396635037,607.376169327885,2775.17050174761,153.491273297697,0.0335674045339844,1093.63295803843,209.329838116875
2011,"census","fit",16166.10480233,13635.2995471574,24091.5302535049,22.7813412871759,285.111529925653,190.809467177879,3984.38382515812,2110.64366941234,13.2219251825798,3031.75111839146,3.05840682987781,532.223519748666,590.16904866139,611.467520575163,2977.6617508603,163.725404721048,0.0242159639618782,1000.62379099504,212.932477293497
2012,"census","fit",16855.9000172205,13733.6871867855,24986.0972032791,21.6960286623025,296.524620942476,207.519626821586,4037.24134123463,2063.93025067554,13.8446605155118,3219.43023848716,3.94398179554852,594.862616129773,667.437743773895,639.845167493651,3088.72862256838,145.415431224223,0.0185051380160784,985.194989740534,211.274809304565
2013,"census","fit",16685.4440899966,13464.3295804509,27602.0322163996,20.2121730354032,305.471345809971,216.0266835197,3864.11776764566,1866.26742071544,13.5468718292713,3154.38368788169,3.19474505332041,724.185646273929,717.327257153868,643.491298255397,3243.49315028147,128.862260652982,0.0134680030098217,1001.5986517439,253.915825925285
2014,"census","fit",17746.2790453776,13465.9464961688,30340.2244941427,22.7099381520223,311.041063415066,222.953989740918,3795.00793084728,1928.52171710145,13.4769006879368,2970.71780509636,2.9510314453619,951.943788330418,698.08614351532,604.630506772517,3603.432938025,160.409670186958,0.00953452397566599,939.820345135661,277.162732515504
2015,"census","fit",18088.1972288138,13742.2465526574,33263.2545311082,19.8922696820222,331.634542908387,211.96298086979,3742.6495992655,2057.66165003405,12.9225258399029,3026.56352897001,2.74320459381588,996.754449842573,804.804529748249,576.601900898556,3590.62806127379,117.506747279655,0.00715246137716638,904.464124411513,315.206433235434
2016,"census","fit",18073.6893390224,13391.7846402795,33669.4055534497,17.5299231152197,305.400824829413,193.775151321575,3674.88342902107,1994.23156381015,12.0359631966857,2944.3375110301,2.16685051056791,966.065691963601,909.460683006677,605.126075095422,3584.89896508124,85.7723155867278,0.0051834692628891,918.587695883805,332.56459574027
2017,"census","fit",18139.0548588188,12322.3200505815,36825.3240667566,17.9662428825857,322.85183596147,192.192303236247,3467.201091145,2036.43190720658,11.4348924729549,2932.14411939793,2.05550955340746,957.075254504473,889.422491896824,557.813937668019,3504.47550537949,69.809297766206,0.00370368331826983,861.557355577671,303.834100058536
2018,"census","prj",18274.018306108,12306.4716005226,38470.8696147162,18.9067977232841,321.17463369424,189.475698587549,3361.36268263507,2011.13378729351,10.6039483869888,2878.3622632387,1.9127593238407,926.432547641269,897.229722454313,546.63377045975,3701.9761940493,68.4466065273038,0.00275063424267089,840.3532333954,310.032567397035
