"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual"
"Afr_penguin","s1","Robben.Island",1994,2799,0.110137347445846,2694.03253087643,2199.56119513054,3302.16888081604,1999.03757435112,3622.26971138166,0.0382230573112841
"Afr_penguin","s1","Robben.Island",1995,2279,0.110137347445846,2382.05979843474,1951.21902133262,2930.93339826769,1771.24991717518,3216.63871032892,-0.0442288246511522
"Afr_penguin","s1","Robben.Island",1996,3097,0.110137347445846,3033.28572107219,2479.7737339754,3721.45219160493,2255.05182599395,4079.636791634,0.0207874726093866
"Afr_penguin","s1","Robben.Island",1997,3336,0.110137347445846,3329.07424214579,2722.89309876332,4071.86641639806,2472.50949184235,4533.52155614101,0.00207822451642414
"Afr_penguin","s1","Robben.Island",1998,3467,0.110137347445846,3533.7380725166,2901.57856532358,4318.45699817669,2627.0107283407,4755.6265047469,-0.0190665880122616
"Afr_penguin","s1","Robben.Island",1999,4399,0.110137347445846,4391.63146350649,3592.81973362132,5370.45077588619,3241.24972879626,5854.36536075407,0.0016764525392432
"Afr_penguin","s1","Robben.Island",2000,5407,0.110137347445846,5377.60486399872,4401.83084670849,6612.18248549139,4006.64903057093,7317.31051870084,0.00545132791909886
"Afr_penguin","s1","Robben.Island",2001,6427,0.110137347445846,6350.17943669152,5192.17041522921,7760.0323411601,4709.22712299211,8574.70821087738,0.0120247961370943
"Afr_penguin","s1","Robben.Island",2002,7099,0.110137347445846,6932.96203401041,5666.05955678665,8473.04423680923,5145.30555005699,9396.98722805563,0.0236667852390475
"Afr_penguin","s1","Robben.Island",2003,5968,0.110137347445846,6193.98341709307,5090.41921989213,7600.68502547706,4610.89208939461,8329.80575080353,-0.0371665413926685
"Afr_penguin","s1","Robben.Island",2004,7798,0.110137347445846,7571.11213907865,6173.52851443027,9258.09149307057,5601.80347486394,10203.9437686161,0.0295273198888228
"Afr_penguin","s1","Robben.Island",2005,7152,0.110137347445846,7058.63070820344,5767.68560865963,8602.8998576,5205.91982208814,9525.57961989267,0.0131409558563291
"Afr_penguin","s1","Robben.Island",2006,5868,0.110137347445846,5951.62608625638,4885.78400381997,7340.46193256209,4444.67151436412,8033.66666321906,-0.0141506137471961
"Afr_penguin","s1","Robben.Island",2007,5935,0.110137347445846,5740.87576939562,4673.40124193981,7011.35021316292,4235.46256624949,7729.43219826717,0.0332552563028035
"Afr_penguin","s1","Robben.Island",2008,4215,0.110137347445846,4136.63757742888,3388.91719573495,5059.915612477,3064.09223109606,5629.44148868711,0.0187663129779505
"Afr_penguin","s1","Robben.Island",2009,2415,0.110137347445846,2562.69457851843,2090.76488427894,3134.38314332649,1908.56410143326,3459.85632280158,-0.0593599875575821
"Afr_penguin","s1","Robben.Island",2010,2628,0.110137347445846,2535.67186781767,2063.28249023607,3095.49936235845,1884.2872578248,3448.39125647454,0.0357644620807509
"Afr_penguin","s1","Robben.Island",2011,1817,0.110137347445846,1855.51453181314,1521.91728954317,2273.88221656288,1385.01356017223,2510.4130150094,-0.0209752438243616
"Afr_penguin","s1","Robben.Island",2012,1669,0.110137347445846,1653.54151571431,1355.53117670916,2013.72665232211,1231.42981715887,2229.9357904838,0.00930528377513529
"Afr_penguin","s1","Robben.Island",2013,1364,0.110137347445846,1357.77364104824,1110.47851121638,1653.70008156996,1004.98220512973,1829.89042228745,0.00457522970983426
"Afr_penguin","s1","Robben.Island",2014,1016,0.110137347445846,1061.85459824902,869.123461317566,1303.91667116367,788.616890013544,1442.29215136346,-0.0441436511534778
"Afr_penguin","s1","Robben.Island",2015,1216,0.110137347445846,1212.65643383787,988.793884840562,1477.96243127148,897.987023616173,1629.9791319827,0.00275343043828524
"Afr_penguin","s1","Robben.Island",2016,1355,0.110137347445846,1349.54810729807,1093.40164750052,1650.63269490339,992.74796856927,1834.0967563424,0.00403165325246757
"Afr_penguin","s1","Robben.Island",2017,1440,0.110137347445846,1452.47772170977,1177.27466139754,1794.01518349941,1067.94953418777,1975.9743027517,-0.0086277581449492
"Afr_penguin","s1","Boulders",1985,2,0.110137347445846,2.1436312419314,1.73366284679919,2.68756371617347,1.56841786094974,2.95398791894353,-0.0693540524878925
"Afr_penguin","s1","Boulders",1987,7,0.110137347445846,7.64485960794932,6.25682486208768,9.44086453628117,5.67208284281711,10.3787347014064,-0.0881233262524914
"Afr_penguin","s1","Boulders",1988,34,0.110137347445846,29.7895689380804,23.913349596874,36.2809721281159,21.7920637158951,40.1202173274562,0.132202228016463
"Afr_penguin","s1","Boulders",1989,38,0.110137347445846,38.5576504551712,31.4082176147624,47.1619231555541,28.4468319393627,51.8910585085097,-0.0145683759803479
