"pop.change","r.All.yrs","r.1GL","r.2GL","r.3GL"
-57.7274264068879,-0.0534239268665555,-0.0891963655887107,-0.0891963655887107,-0.0891963655887107
-52.4893050337664,-0.0233421675010224,-0.00758230021181916,-0.0231179175287934,-0.0235664174732513
-45.7377027580698,-0.00225155476224703,-0.0157468167471304,-0.0157468167471304,-0.00247194883806401
-34.0584987879747,-0.0195862771513058,-0.0252849755492086,-0.0252849755492086,-0.0154825541884644
-71.6318400684179,-0.0152553427883939,-0.0201271601110768,-0.0280018826022737,-0.0280018826022737
-52.6210598053681,-0.0487920406788787,-0.0598898014676621,-0.0598898014676621,-0.0547388361256989
-57.3503000009566,-0.0333253446632229,-0.0134757559534666,-0.0144160607766839,-0.0212834046878623
-47.1344762653315,-0.0207791209370134,-0.0183360899205756,-0.0210672194159294,-0.0210672194159294
-64.374094008642,-0.0277567408154846,-0.0429157372358127,-0.0429157372358127,-0.0384067323509321
-56.6146773963157,-0.0615875091383735,-0.0609396326627145,-0.0615674021815469,-0.0655942265567102
-69.941606965211,-0.0457812078269813,-0.0432056628335022,-0.0432056628335022,-0.0568174612101888
-72.2516930619007,-0.0502537311557782,-0.0337125657266544,-0.0431304840285431,-0.0827189224185414
-68.0305927215522,-0.0365146352693309,-0.0785513225375141,-0.0785513225375141,-0.048527808557898
-62.6007461591562,-0.0341423345311718,-0.0109398456592462,-0.0109398456592462,-0.042168506314793
-55.6858424387877,-0.0455716133494457,-0.0531438412067189,-0.0531438412067189,-0.0531438412067189
-58.7462159711976,-0.0157694246578091,-0.0475297303945723,-0.0467106350647644,-0.0467106350647644
-68.5874771897205,-0.0182424317146781,-0.0123309328011612,-0.024153930628195,-0.0299679767077325
-54.4980252880884,-0.0384425364628749,-0.0623248681587008,-0.0623248681587008,-0.0556840861880712
-56.5898004195628,-0.035982548144748,-0.0743274588444951,-0.0770821666058463,-0.0437851609131137
-53.9702757061987,-0.022129969087187,-0.0403610589450007,-0.0576842274925049,-0.0259011872697332
-69.0706658534218,-0.030086873981495,-0.0569780295654638,-0.0569780295654638,-0.0569780295654638
-68.1185189301272,-0.0024327273269078,-0.0762598889787043,-0.0421944808348407,-0.0408694305135526
-49.6413878072523,-0.0457831069288854,-0.0382813380153095,-0.0780400280119462,-0.0382813380153095
-46.6449844078135,0.0044424593229051,0.00761259839431183,0.00761259839431183,0.0258788709255633
-25.8798395909855,-0.0359628885744527,0.0125548985847797,-0.0410024912433204,-0.0410024912433204
-27.6735053325711,-0.019391234536644,0.00176589442843067,-0.0218982130779963,-0.0218982130779963
-44.6565273470744,-0.0441000305778418,-0.0444336625675223,-0.0444336625675223,-0.0444336625675223
-58.7385296968006,-0.0637243106898602,-0.0562635654892869,-0.0645975369702612,-0.074330955109204
-47.6075929325941,-0.0253088789783522,-0.0265369821371451,-0.0265369821371451,-0.0240807758195594
-36.6163032018864,-0.0203730360346386,-0.0419088752510124,-0.0419088752510124,-0.0310364300082036
-59.2669169735501,-0.0368309809343241,-0.0222932740071453,-0.0222932740071453,-0.0288482243330996
-38.7603108414957,-0.0572016245623201,-0.0351421732426882,-0.0907620143411325,-0.0351421732426882
-54.3986705688301,-0.0593350764984022,-0.0447061425804769,-0.0551088146985919,-0.0551088146985919
-45.3178164654803,-0.0542656212483594,-0.0277806100098434,-0.0277806100098434,-0.0277806100098434
-60.4990534235475,-0.0414167043601807,-0.0635323570342017,-0.0508013501624358,-0.0508013501624358
-54.517224981062,-0.0435567585467735,-0.0618805258132067,-0.0309623191006008,-0.0309623191006008
-65.3296465656164,-0.0341355899354339,-0.0468790781170121,-0.0468790781170121,-0.0468790781170121
-32.4466717593102,0.0109406304383866,0.0226561089021455,0.0183347148786162,0.0226561089021455
-51.4792736928054,-0.0433684678593798,-0.0582110623271141,-0.0582110623271141,-0.0442020559462453
-51.4740130362185,-0.0543219350714246,-0.0339754849511422,-0.034529791895503,-0.0530391208619374
-60.1863824718994,-0.00378593777871838,-0.00358061305293411,-0.0377178383148564,-0.00897696729040653
-50.5920223120321,-0.0316270064845385,-0.05022371409407,-0.05022371409407,-0.0047071724471639
-51.5489021618716,-0.0237028972426545,-0.0265357466394196,-0.0265357466394196,-0.0265357466394196
-51.5880102320959,-0.0250034617795363,-0.0101725669067871,-0.0243289491172511,-0.0256779744418214
-56.7739993880104,0.0117546693404824,-0.0318210847986542,-0.0318210847986542,-0.00425221782699836
-51.1309036247813,-0.0190076654171492,-0.0162752412291027,-0.0224367620665049,-0.0229374531011128
-40.3576106764468,-0.0343822297003138,-0.00587478491436144,-0.0205336424988669,-0.0205336424988669
-56.0179249813217,-0.0310171035732463,0.000124692262016168,-0.0208645214097682,-0.0364745079657123
-55.3471515529202,-0.0158799807674743,-0.0161896172519924,-0.0256276959310675,-0.0256276959310675
