"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1994,"census","fit",44424.7711360681,35307.0213497055,60940.6134887179,9195.7505163215,2695.92166025978,347.423423882343,44.2120144265972,4402.46270213629,18366.7416360815,2909.47702078246,2229.52869573525,2762.10627942625,662.680993162005,529.206120517543
1995,"census","fit",44348.1349845483,34429.5796522638,64877.7601141945,9698.38932729051,2371.21710398758,369.958238819117,50.0450324076069,4179.96568509388,17466.7276466564,3459.89844743259,2270.10138415583,3213.6409994793,479.85240768984,591.902856776185
1996,"census","fit",41409.5076604951,31723.2447263535,62428.5195518775,9466.05190178071,3040.93081764699,429.876570228199,56.5708647560153,3293.76961072316,16468.882538489,2453.22242736683,2399.45139866921,2616.52060092718,394.812558333506,505.656928540733
1997,"census","fit",38851.1098187821,29919.8413264817,57793.329396069,8903.32491452463,3322.61405633781,681.916839494464,63.9103077056117,2719.89056439201,15721.4686007728,1750.44795439392,2654.9398817756,1923.07890031274,428.301180573575,506.03233182128
1998,"census","fit",40339.0650505532,32767.3316061561,53405.7399799925,10993.9361719679,3533.41745666087,589.413376012549,72.3752009231231,2053.38173336505,14906.1306458092,2573.82762834543,2876.12459010567,1600.53018572667,445.897961355568,469.19253396777
1999,"census","fit",46335.7185543842,42075.4706502771,51066.8629399973,14882.4447480319,4385.1912567844,877.41471782218,86.3664505067368,2319.23367169535,14183.3495712399,3770.37766652822,3007.61139469178,1692.03965955161,481.950677960617,465.761559764694
2000,"census","fit",50300.5334996862,45774.7647017211,55429.6489493084,17161.7343520054,5393.89561757844,952.572007199109,102.74767404254,2220.54109194238,15177.8349769688,4131.55796523861,2825.13108252097,1429.70395733407,389.623114211819,367.691197872485
2001,"census","fit",57816.9558072241,52464.3802044493,63896.731131301,21086.4668583936,6378.92559142283,1047.97279097594,110.450576821969,2099.88087324467,16338.751956511,4885.8935447127,2684.18960597114,2160.08641793579,505.682914103752,365.926402337052
2002,"census","fit",54101.4957456217,47049.324087293,63254.6110281272,22337.8330591408,6963.16121185425,1075.30219573515,115.279433000601,2121.59723691337,12392.4184444601,2322.58764829877,3314.67061705062,2168.97731618738,510.330762240498,400.201169503255
2003,"census","fit",46359.0210342604,41948.0137320585,51605.7208738634,20695.7782981551,6187.62196256667,1044.65714584625,120.763244274284,1968.05607675082,9388.81148450586,1112.03308214749,2757.01983639472,2007.61780812538,540.651903307387,379.314633894549
2004,"census","fit",51655.1363395064,46523.0136366176,57526.4697533958,24242.5268717159,7581.0968863865,1185.79649884353,105.255913227239,2178.25659919116,9363.67579707881,2723.13325483235,2120.21524355582,944.96536372609,652.240822283873,439.61322493534
2005,"census","fit",44783.1874428507,40215.7056631191,49845.1739921918,21836.0298521731,7080.01329538546,1208.33929152744,181.97294267872,2061.17024727671,4686.65938570532,3118.39086207134,2367.60842555375,1024.25688576819,614.234785434293,456.627020582128
2006,"census","fit",36753.7214209441,33549.376015978,40369.5906726518,13684.1382745092,5945.99547321028,1063.11683084984,256.364158111219,2009.57432711119,7369.1528070034,2702.68602950849,1886.32829402072,709.242470024593,595.924144892832,371.407756384472
2007,"census","fit",29734.4101967287,27129.1498882268,32678.4922931698,11276.5371992275,5739.34626879708,849.08588832863,264.450944912513,1556.60982347782,4792.93087589297,1570.9915107873,2088.394659712,451.951662519065,575.876905211938,453.593583230551
2008,"census","fit",27772.1541235406,25583.1092027531,30055.0957818002,6020.77675542979,4137.34830929842,889.945050146757,317.946113237372,1570.39635577403,7337.32804896039,2618.24581461622,3025.60236627496,590.054172173749,643.830340729505,482.009697548865
